AY004341.1	100044	Pleomassaria siparia	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleomassariaceae;Pleomassaria;Pleomassaria siparia
DQ678077.1	100052	Delitschia winteri	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Delitschiaceae;Delitschia;Delitschia winteri
HQ676890.1	1001252	Ausejanus luteoelytratus	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Prosorrhyncha;Heteroptera;Euheteroptera;Neoheteroptera;Panheteroptera;Cimicomorpha;Cimicoidea;Miridae;Phylinae;Leucophoropterini;Ausejanus;Ausejanus luteoelytratus
HQ676940.1	1001255	Prepops fraternus	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Prosorrhyncha;Heteroptera;Euheteroptera;Neoheteroptera;Panheteroptera;Cimicomorpha;Cimicoidea;Miridae;Mirinae;Resthenini;Prepops;Prepops fraternus
KX713363.1	1001656	Chama asperella	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Heteroconchia;Euheterodonta;Imparidentia;Neoheterodontei;Venerida;Chamoidea;Chamidae;Chama;Chama asperella
KM222166.1	1003327	Anigsteinia clarissima	cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Heterotrichida;Spirostomidae;Anigsteinia;Anigsteinia clarissima
JF694056.1	1004023	Diophrys parappendiculata	cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Hypotrichia;Euplotida;Uronychiidae;Diophrys;Diophrys parappendiculata
KM222125.1	1004043	Caryotricha minuta	cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Hypotrichia;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha minuta
KM222139.1	1004047	Euplotes sinicus	cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Hypotrichia;Euplotida;Euplotidae;Euplotes;Euplotes sinicus
HQ996037.1	1004172	Dioxys moesta	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Hymenoptera;Apocrita;Aculeata;Apoidea;Anthophila;Megachilidae;Megachilinae;Dioxyini;Dioxys;Dioxys moesta
