JU062376.1	1041057	sea squirt metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;sea squirt metagenome
PV703754.1	1070528	viral metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;viral metagenome
LT158606.1	1070537	biofilter metagenome	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes;biofilter metagenome
JP004806.1	1076140	termite metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;termite metagenome
OZ309602.1	1076179	bioreactor metagenome	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes;bioreactor metagenome
HG522297.1	1077529	wasp metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;wasp metagenome
OR248783.1	1169740	aquatic metagenome	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes;aquatic metagenome
MG017429.1	1176744	pig metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;pig metagenome
KY848216.1	1202446	insect gut metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;insect gut metagenome
PP236211.1	1234904	insect metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;insect metagenome
BK010417.1	1263854	anaerobic digester metagenome	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes;anaerobic digester metagenome
OZ076381.1	1284369	stomach metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;stomach metagenome
OZ176288.1	1297885	plant metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;plant metagenome
OZ186785.1	1306859	mixed culture metagenome	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes;mixed culture metagenome
PP872393.1	1411990	echinoderm metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;echinoderm metagenome
LT904378.1	1436733	rat gut metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;rat gut metagenome
FX984894.1	1518171	root associated fungus metagenome	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes;root associated fungus metagenome
OZ210743.1	1541066	oyster metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;oyster metagenome
KX099382.1	1561972	seawater metagenome	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes;seawater metagenome
TAAU01000001.1	1564682	subsurface metagenome	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes;subsurface metagenome
LC654633.1	1660347	phage metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;phage metagenome
LR026963.1	1711999	invertebrate metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;invertebrate metagenome
MK965519.1	1755691	hospital metagenome	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes;hospital metagenome
LR992913.1	1789662	frog metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;frog metagenome
MG017401.1	1833763	bird metagenome	unclassified entries;unclassified sequences;metagenomes;organismal metagenomes;bird metagenome
