JF773149.1	0	N/A	
JF718645.1	1001139	Apokeronopsis ovalis	cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Stichotrichia;Urostylida;Pseudokeronopsidae;Apokeronopsis;Apokeronopsis ovalis
MF077365.1	1001829	Procerovum varium	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Opisthorchiida;Opisthorchiata;Heterophyidae;Procerovum;Procerovum varium
JF263567.1	1001996	Tritirachium egenum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Tritirachiomycetes;Tritirachiales;Tritirachiaceae;Tritirachium;Tritirachium egenum
JF263569.1	1001997	Tritirachium dependens	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Tritirachiomycetes;Tritirachiales;Tritirachiaceae;Tritirachium;Tritirachium dependens
KP419234.1	1002077	Platypus incompertus	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Curculionoidea;Curculionidae;Platypodinae;Platypus;Platypus incompertus
HM042104.1	1002767	Fabriciola liguronis	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Polychaeta;Sedentaria;Canalipalpata;Sabellida;Fabriciidae;Fabriciola;Fabriciola liguronis
HM042107.1	1002768	Manayunkia aestuarina	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Polychaeta;Sedentaria;Canalipalpata;Sabellida;Fabriciidae;Manayunkia;Manayunkia aestuarina
HM042109.1	1002769	Novafabricia brunnea	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Polychaeta;Sedentaria;Canalipalpata;Sabellida;Fabriciidae;Novafabricia;Novafabricia brunnea
HM042114.1	1002774	Pseudofabriciola australiensis	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Polychaeta;Sedentaria;Canalipalpata;Sabellida;Fabriciidae;Pseudofabriciola;Pseudofabriciola australiensis
HM042103.1	1002777	Rubifabriciola flammula	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Polychaeta;Sedentaria;Canalipalpata;Sabellida;Fabriciidae;Rubifabriciola;Rubifabriciola flammula
HM042106.1	1002778	Rubifabriciola markginsbergi	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Polychaeta;Sedentaria;Canalipalpata;Sabellida;Fabriciidae;Rubifabriciola;Rubifabriciola markginsbergi
