seqID,marker,cluster_id,cluster_probability
MH279652.1,SSU,22945,1.0
MF325755.1,SSU,-1,0.0
FJ876973.1,SSU,3211,1.0
KY682881.1,SSU,1556,1.0
KY682880.1,SSU,13975,1.0
KY682879.1,SSU,23217,1.0
KY682878.1,SSU,-1,0.0
KY682877.1,SSU,4223,1.0
KY682876.1,SSU,-1,0.0
KY682875.1,SSU,-1,0.0
KY682872.1,SSU,-1,0.0
GQ912748.1,SSU,23492,1.0
GQ912740.1,SSU,-1,0.0
GQ912721.1,SSU,16724,1.0
GQ912718.1,SSU,23492,1.0
GQ912717.1,SSU,-1,0.0
GQ912716.1,SSU,16245,1.0
GQ912715.1,SSU,-1,0.0
KY951739.1,SSU,2638,1.0
KY951738.1,SSU,-1,0.0
KJ490643.1,SSU,13605,1.0
KX889635.1,SSU,1287,1.0
KY235240.1,SSU,7618,0.5614553
KY235238.1,SSU,7618,1.0
KY235237.1,SSU,7618,0.72645843
KY235236.1,SSU,7618,1.0
KR673881.1,SSU,-1,0.0
GQ849091.1,SSU,12382,1.0
GQ849082.1,SSU,8709,1.0
GQ849078.1,SSU,12156,1.0
GQ849073.1,SSU,12125,1.0
EU247826.1,SSU,16542,0.74090004
EU247818.1,SSU,8168,1.0
EU247815.1,SSU,-1,0.0
EU247813.1,SSU,10883,1.0
EU247812.1,SSU,18619,1.0
AY823716.1,SSU,18281,1.0
AY823715.1,SSU,11905,0.7888481
AY823714.1,SSU,-1,0.0
AY823713.1,SSU,-1,0.0
AY220984.1,SSU,-1,0.0
AY220983.1,SSU,-1,0.0
AF342751.1,SSU,-1,0.0
AF342750.1,SSU,19518,1.0
AF342744.1,SSU,749,1.0
AF342743.1,SSU,12200,1.0
KM373518.1,SSU,-1,0.0
KM373512.1,SSU,2399,0.8779555
KX907172.1,SSU,8540,1.0
KT757460.1,SSU,16192,1.0
KT757492.1,SSU,21284,1.0
KT757482.1,SSU,18281,1.0
KT757514.1,SSU,-1,0.0
KT757508.1,SSU,21705,1.0
KT757494.1,SSU,11456,1.0
KT757487.1,SSU,4051,1.0
KT757477.1,SSU,-1,0.0
KT757448.1,SSU,11654,1.0
KT757444.1,SSU,24966,1.0
KT757430.1,SSU,6335,1.0
KT757415.1,SSU,23488,1.0
DQ235612.1,SSU,21021,1.0
DQ235608.1,SSU,24551,1.0
DQ235606.1,SSU,8446,1.0
DQ235605.1,SSU,12831,1.0
KU233696.1,SSU,-1,0.0
KU233695.1,SSU,11876,1.0
GU214615.1,SSU,11165,0.47563308
GU214594.1,SSU,6082,1.0
GU214570.1,SSU,11905,1.0
GU214562.1,SSU,16151,1.0
GU214518.1,SSU,15608,1.0
GU214517.1,SSU,-1,0.0
AY251093.2,SSU,16281,0.8197567
FJ876982.1,SSU,11298,0.7737468
KU975378.1,SSU,-1,0.0
JN170245.1,SSU,-1,0.0
JN170220.1,SSU,10090,1.0
JN170204.1,SSU,-1,0.0
JN170187.1,SSU,9656,0.8580595
JN170156.1,SSU,3550,0.91517824
JN170154.1,SSU,7832,1.0
JN170153.1,SSU,8540,1.0
JN170137.1,SSU,19993,1.0
KT184334.1,SSU,20559,0.61292475
KU382041.1,SSU,4223,0.9644619
KU382040.1,SSU,-1,0.0
KU382039.1,SSU,15177,1.0
KJ680557.1,SSU,-1,0.0
KJ680556.1,SSU,4610,1.0
HQ901762.1,SSU,-1,0.0
JN856016.1,SSU,-1,0.0
JN856014.1,SSU,20559,1.0
JN856012.1,SSU,13804,1.0
JN856010.1,SSU,19322,1.0
DQ834911.1,SSU,-1,0.0
AY284839.1,SSU,23409,1.0
AY284838.1,SSU,23409,0.9034399
AY284837.1,SSU,-1,0.0
AY284831.1,SSU,7725,1.0
AY284828.1,SSU,9719,1.0
AY284827.1,SSU,-1,0.0
AY284820.1,SSU,14444,0.9041123
AY284809.1,SSU,-1,0.0
AY284805.1,SSU,-1,0.0
AY284794.1,SSU,-1,0.0
AY284788.1,SSU,-1,0.0
AY284776.1,SSU,2830,1.0
AY284774.1,SSU,2830,1.0
AY284773.1,SSU,16558,1.0
AY284767.1,SSU,-1,0.0
AY284756.1,SSU,11499,0.87548757
AY284746.1,SSU,7518,0.8499503
AY284738.1,SSU,-1,0.0
AY284726.1,SSU,7572,1.0
AY284725.1,SSU,7572,1.0
AY284697.1,SSU,11135,0.8697078
AY284695.1,SSU,-1,0.0
AY284673.1,SSU,2710,1.0
AY284671.1,SSU,12121,1.0
AY284670.1,SSU,4834,1.0
AY284668.1,SSU,4834,1.0
AY284666.1,SSU,-1,0.0
AY284665.1,SSU,-1,0.0
AY284644.1,SSU,12049,1.0
AY284643.1,SSU,9675,0.9223326
AY284619.1,SSU,16245,0.8561752
AY284596.1,SSU,23078,1.0
KP881349.1,SSU,3349,1.0
KR072683.1,SSU,12623,1.0
KP295473.1,SSU,12605,1.0
KP762962.1,SSU,26392,1.0
AF047889.1,SSU,-1,0.0
KF728217.1,SSU,7412,1.0
EF216902.1,SSU,2866,1.0
EF216901.1,SSU,-1,0.0
JN636073.1,SSU,24480,1.0
JN636071.1,SSU,3211,1.0
FJ176829.1,SSU,-1,0.0
KP725835.1,SSU,10649,0.94827884
KP725831.1,SSU,27055,1.0
KP725823.1,SSU,27055,1.0
KP725772.1,SSU,7928,1.0
KP725758.1,SSU,22438,1.0
KP725748.1,SSU,14799,1.0
KP725701.1,SSU,-1,0.0
KJ577871.1,SSU,10412,0.769046
KJ577860.1,SSU,-1,0.0
KJ577858.1,SSU,-1,0.0
KJ577852.1,SSU,-1,0.0
KJ577842.1,SSU,20262,0.86344534
KM242075.1,SSU,2867,1.0
KJ624397.1,SSU,22363,1.0
KF823834.1,SSU,-1,0.0
KF823829.1,SSU,26442,1.0
KF823827.1,SSU,-1,0.0
KF823823.1,SSU,22426,1.0
FJ969989.2,SSU,-1,0.0
FJ969983.2,SSU,5406,0.7996587
KJ857511.1,SSU,10083,1.0
KJ857510.1,SSU,-1,0.0
KF744098.1,SSU,1103,1.0
KF744097.1,SSU,1103,1.0
KF744096.1,SSU,5681,1.0
KF744093.1,SSU,-1,0.0
KF744092.1,SSU,622,0.7586177
KF744090.1,SSU,-1,0.0
KF744088.1,SSU,4780,1.0
KF744084.1,SSU,-1,0.0
KF744083.1,SSU,-1,0.0
KF744080.1,SSU,2225,1.0
