seqID,marker,cluster_id,cluster_probability,predicted_otu,classification_type,identity,pred_domain,pred_kingdom,pred_phylum,pred_class,pred_order,pred_family,pred_genus,pred_species,taxID,species_name,full_taxonomy,gt_domain,gt_kingdom,gt_phylum,gt_class,gt_order,gt_family,gt_genus,gt_species,has_taxonomy,has_ground_truth
MH279652.1,SSU,146,0.93035936,Novodamus nodatus,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Novodamus,Novodamus nodatus,947157,Calohypsibius ornatus,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Tardigrada;Eutardigrada;Parachela;Hypsibioidea;Calohypsibiidae;Calohypsibius;Calohypsibius ornatus,Eukaryota,Opisthokonta,,,,,Calohypsibius,Calohypsibius ornatus,True,True
MF325755.1,SSU,328,1.0,Parvochelus russus,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Parvochelus,Parvochelus russus,1497649,Parvochelus russus,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Asellota;Janiroidea;Desmosomatidae;Eugerdellatinae;Parvochelus;Parvochelus russus,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Parvochelus,Parvochelus russus,True,True
FJ876973.1,SSU,1120,1.0,Mesodinium pulex,known_species,100.0,,,,,,,Mesodinium,Mesodinium pulex,,,,,,,,,,,,,False
KY682881.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,158729,Nitophyllum punctatum,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Ceramiales;Delesseriaceae;Nitophylloideae;Nitophyllum;Nitophyllum punctatum,Eukaryota,,Rhodophyta,Florideophyceae,,,Nitophyllum,Nitophyllum punctatum,True,True
KY682880.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,131068,Hemineura frondosa,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Ceramiales;Delesseriaceae;Hemineura;Hemineura frondosa,Eukaryota,,Rhodophyta,Florideophyceae,,,Hemineura,Hemineura frondosa,True,True
KY682879.1,SSU,682,1.0,Branchioglossum bipinnatifidum,known_species,100.0,Eukaryota,,Rhodophyta,Florideophyceae,,,Branchioglossum,Branchioglossum bipinnatifidum,1206570,Branchioglossum bipinnatifidum,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Ceramiales;Delesseriaceae;Branchioglossum;Branchioglossum bipinnatifidum,Eukaryota,,Rhodophyta,Florideophyceae,,,Branchioglossum,Branchioglossum bipinnatifidum,True,True
KY682878.1,SSU,912,1.0,Apoglossum spathulatum,known_species,100.0,Eukaryota,,Rhodophyta,Florideophyceae,,,Apoglossum,Apoglossum spathulatum,2080269,Apoglossum spathulatum,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Ceramiales;Delesseriaceae;Apoglossum;Apoglossum spathulatum,Eukaryota,,Rhodophyta,Florideophyceae,,,Apoglossum,Apoglossum spathulatum,True,True
KY682877.1,SSU,220,1.0,Sonderopelta coriacea,known_species,100.0,Eukaryota,,Rhodophyta,Florideophyceae,,,Sonderopelta,Sonderopelta coriacea,257588,Sonderopelta coriacea,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Peyssonneliales;Peyssonneliaceae;Sonderopelta;Sonderopelta coriacea,Eukaryota,,Rhodophyta,Florideophyceae,,,Sonderopelta,Sonderopelta coriacea,True,True
KY682876.1,SSU,660,1.0,Crouania mucosa,known_species,100.0,Eukaryota,,Rhodophyta,Florideophyceae,,,Crouania,Crouania mucosa,2080267,Crouania mucosa,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Ceramiales;Callithamniaceae;Crouania;Crouania mucosa,Eukaryota,,Rhodophyta,Florideophyceae,,,Crouania,Crouania mucosa,True,True
KY682875.1,SSU,910,0.96018,Champia parvula,known_species,100.0,Eukaryota,,Rhodophyta,Florideophyceae,,,Champia,Champia parvula,1206573,Cumathamnion serrulatum,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Ceramiales;Delesseriaceae;Cumathamnion;Cumathamnion serrulatum,Eukaryota,,Rhodophyta,Florideophyceae,,,Cumathamnion,Cumathamnion serrulatum,True,True
