cluster_id,cluster_size,classification_type,identity,representative_seqid,blast_quality,predicted_otu,pred_domain,pred_kingdom,pred_phylum,pred_class,pred_order,pred_family,pred_genus,pred_species
-1,2536,noise,,,,Novel (Noise),,,,,,,,
0,2,known_species,100.0,LC136798.1,good,Percutemincola moriokae,Eukaryota,Opisthokonta,,,,,Percutemincola,Percutemincola moriokae
1,7,known_species,100.0,MG988601.1,good,Pachypsylla venusta,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Pachypsylla,Pachypsylla venusta
2,3,known_species,100.0,AY596365.1,good,Occasjapyx japonicus,Eukaryota,Opisthokonta,Arthropoda,,,,Occasjapyx,Occasjapyx japonicus
3,2,known_species,100.0,KC109664.1,good,Reticulamoeba gemmipara,Eukaryota,,Sar,,,,Reticulamoeba,Reticulamoeba gemmipara
4,3,known_species,100.0,GQ326910.1,good,Coryphella trophina,Eukaryota,Opisthokonta,Mollusca,Gastropoda,,,Coryphella,Coryphella trophina
5,4,known_species,100.0,LN875144.1,good,Nuclearia delicatula,,,,,,,Nuclearia,Nuclearia delicatula
6,4,known_species,100.0,EF202868.1,good,Gambierdiscus belizeanus,,,,,,,Gambierdiscus,Gambierdiscus belizeanus
7,2,known_species,100.0,MG264559.1,good,Monocercomonoides acer,Eukaryota,Metamonada,,,,,Monocercomonoides,Monocercomonoides acer
8,2,known_species,100.0,AY532365.1,good,Leitoscoloplos pugettensis,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Leitoscoloplos,Leitoscoloplos pugettensis
9,4,known_species,100.0,FJ481912.1,good,Nosema ceranae,,,,,,,Nosema,Nosema ceranae
10,2,known_species,100.0,AF121062.1,good,Anopheles punctulatus,Eukaryota,Opisthokonta,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles punctulatus
11,3,known_species,100.0,AB091230.1,good,Galdieria sulphuraria,Eukaryota,,Rhodophyta,,,,Galdieria,Galdieria sulphuraria
12,2,known_species,100.0,KC822923.1,good,Neozygites cinarae,Eukaryota,Opisthokonta,,,,,Neozygites,Neozygites cinarae
13,6,known_species,100.0,JN940697.1,good,Smittium mucronatum,Eukaryota,Opisthokonta,,,,,Smittium,Smittium mucronatum
14,3,known_species,100.0,JF699573.1,good,Neonaesa rugosa,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Neonaesa,Neonaesa rugosa
15,3,known_species,100.0,EU815287.1,good,Sisyra vicaria,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Sisyra,Sisyra vicaria
16,3,known_species,100.0,KT304824.1,good,Discoplastis adunca,Eukaryota,Discoba,,,,,Discoplastis,Discoplastis adunca
17,3,known_species,100.0,X62623.1,good,Acyrthosiphon pisum,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Acyrthosiphon,Acyrthosiphon pisum
18,2,known_species,100.0,MH349021.1,good,Vexillifera kereti,Eukaryota,,Amoebozoa,,,,Vexillifera,Vexillifera kereti
19,4,known_species,100.0,HG328383.1,good,Chroomonas coerulea,Eukaryota,Cryptophyceae,,,,,Chroomonas,Chroomonas coerulea
20,3,known_species,100.0,JN606345.1,good,Psalteriomonas lanterna,,,,,,,Psalteriomonas,Psalteriomonas lanterna
21,3,known_species,100.0,KC177289.1,good,Asilus crabroniformis,Eukaryota,Opisthokonta,Arthropoda,Insecta,Diptera,,Asilus,Asilus crabroniformis
22,2,known_species,100.0,MH348777.1,good,Merocystis kathae,Eukaryota,,Sar,,,,Merocystis,Merocystis kathae
23,2,known_species,100.0,EU400391.1,good,Plasmodium inui,Eukaryota,,Sar,,,,Plasmodium,Plasmodium inui
24,3,known_species,100.0,KP343631.1,good,Rhizomastix libera,,,,,,,Rhizomastix,Rhizomastix libera
